Date,Store,Product,Stock
7/1/20,Mandeville,Pesto Chicken Pasta Large,2
7/1/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,3
7/1/20,Mandeville,Chicken Chili Enchiladas with Rice Large,2
7/3/20,Mandeville,Bison Quinoa Hash,2
7/3/20,Mandeville,Veggie Taco Hash,3
7/3/20,Mandeville,Turk Meatloaf,2
7/3/20,Mandeville,Turkey Chili,2
7/3/20,Mandeville,Turkey Bolognese,2
7/3/20,Mandeville,Turkey Quinoa Hash,2
7/3/20,Mandeville,Chicken Fried Broccoli Rice,2
7/3/20,Mandeville,Grass-Fed Beef Taco Hash,3
7/3/20,Mandeville,Turkey Meatloaf Rice and Beans Large,2
7/3/20,Mandeville,Spaghetti Bolognese Large,2
7/3/20,Mandeville,Pesto Chicken Pasta Large,2
7/3/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,2
7/3/20,Mandeville,Chicken Chili Enchiladas with Rice Large,3
7/5/20,Mandeville,Bison Quinoa Hash,3
7/5/20,Mandeville,Veggie Taco Hash,2
7/5/20,Mandeville,Turk Meatloaf,2
7/5/20,Mandeville,Turkey Chili,2
7/5/20,Mandeville,Turkey Bolognese,2
7/5/20,Mandeville,Turkey Quinoa Hash,2
7/5/20,Mandeville,Chicken Fried Broccoli Rice,2
7/5/20,Mandeville,Grass-Fed Beef Taco Hash,2
7/5/20,Mandeville,Turkey Meatloaf Rice and Beans Large,2
7/5/20,Mandeville,Spaghetti Bolognese Large,2
7/5/20,Mandeville,Pesto Chicken Pasta Large,2
7/5/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,3
7/5/20,Mandeville,Chicken Chili Enchiladas with Rice Large,2
7/7/20,Mandeville,Bison Quinoa Hash,3
7/7/20,Mandeville,Veggie Taco Hash,3
7/7/20,Mandeville,Turk Meatloaf,3
7/7/20,Mandeville,Turkey Chili,3
7/7/20,Mandeville,Turkey Bolognese,3
7/7/20,Mandeville,Turkey Quinoa Hash,3
7/7/20,Mandeville,Chicken Fried Broccoli Rice,3
7/7/20,Mandeville,Grass-Fed Beef Taco Hash,3
7/7/20,Mandeville,Turkey Meatloaf Rice and Beans Large,3
7/7/20,Mandeville,Spaghetti Bolognese Large,3
7/7/20,Mandeville,Pesto Chicken Pasta Large,3
7/7/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,3
7/7/20,Mandeville,Chicken Chili Enchiladas with Rice Large,3
7/8/20,Mandeville,Bison Quinoa Hash,4
7/8/20,Mandeville,Veggie Taco Hash,4
7/8/20,Mandeville,Turk Meatloaf,3
7/8/20,Mandeville,Turkey Chili,4
7/8/20,Mandeville,Turkey Bolognese,4
7/8/20,Mandeville,Turkey Quinoa Hash,3
7/8/20,Mandeville,Chicken Fried Broccoli Rice,4
7/8/20,Mandeville,Grass-Fed Beef Taco Hash,4
7/8/20,Mandeville,Turkey Meatloaf Rice and Beans Large,5
7/8/20,Mandeville,Spaghetti Bolognese Large,4
7/8/20,Mandeville,Pesto Chicken Pasta Large,3
7/8/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,4
7/8/20,Mandeville,Chicken Chili Enchiladas with Rice Large,3
7/10/20,Mandeville,Bison Quinoa Hash,4
7/10/20,Mandeville,Veggie Taco Hash,8
7/10/20,Mandeville,Turk Meatloaf,4
7/10/20,Mandeville,Turkey Chili,4
7/10/20,Mandeville,Turkey Bolognese,4
7/10/20,Mandeville,Turkey Quinoa Hash,6
7/10/20,Mandeville,Chicken Fried Broccoli Rice,5
7/10/20,Mandeville,Grass-Fed Beef Taco Hash,8
7/10/20,Mandeville,Turkey Meatloaf Rice and Beans Large,4
7/10/20,Mandeville,Spaghetti Bolognese Large,7
7/10/20,Mandeville,Pesto Chicken Pasta Large,4
7/10/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,4
7/10/20,Mandeville,Chicken Chili Enchiladas with Rice Large,6
7/12/20,Mandeville,Bison Quinoa Hash,2
7/12/20,Mandeville,Veggie Taco Hash,2
7/12/20,Mandeville,Turk Meatloaf,2
7/12/20,Mandeville,Turkey Chili,2
7/12/20,Mandeville,Turkey Bolognese,2
7/12/20,Mandeville,Turkey Quinoa Hash,2
7/12/20,Mandeville,Chicken Fried Broccoli Rice,2
7/12/20,Mandeville,Grass-Fed Beef Taco Hash,2
7/12/20,Mandeville,Turkey Meatloaf Rice and Beans Large,2
7/12/20,Mandeville,Spaghetti Bolognese Large,2
7/12/20,Mandeville,Pesto Chicken Pasta Large,2
7/12/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,3
7/12/20,Mandeville,Chicken Chili Enchiladas with Rice Large,2
7/14/20,Mandeville,Bison Quinoa Hash,3
7/14/20,Mandeville,Veggie Taco Hash,3
7/14/20,Mandeville,Turk Meatloaf,3
7/14/20,Mandeville,Turkey Chili,3
7/14/20,Mandeville,Turkey Bolognese,3
7/14/20,Mandeville,Turkey Quinoa Hash,3
7/14/20,Mandeville,Chicken Fried Broccoli Rice,3
7/14/20,Mandeville,Grass-Fed Beef Taco Hash,3
7/14/20,Mandeville,Turkey Meatloaf Rice and Beans Large,3
7/14/20,Mandeville,Spaghetti Bolognese Large,3
7/14/20,Mandeville,Pesto Chicken Pasta Large,3
7/14/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,3
7/14/20,Mandeville,Chicken Chili Enchiladas with Rice Large,3
7/15/20,Mandeville,Bison Quinoa Hash,4
7/15/20,Mandeville,Veggie Taco Hash,4
7/15/20,Mandeville,Turk Meatloaf,4
7/15/20,Mandeville,Turkey Chili,4
7/15/20,Mandeville,Turkey Bolognese,4
7/15/20,Mandeville,Turkey Quinoa Hash,4
7/15/20,Mandeville,Chicken Fried Broccoli Rice,4
7/15/20,Mandeville,Grass-Fed Beef Taco Hash,4
7/15/20,Mandeville,Turkey Meatloaf Rice and Beans Large,4
7/15/20,Mandeville,Spaghetti Bolognese Large,4
7/15/20,Mandeville,Pesto Chicken Pasta Large,4
7/15/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,4
7/15/20,Mandeville,Chicken Chili Enchiladas with Rice Large,4
7/17/20,Mandeville,Bison Quinoa Hash,10
7/17/20,Mandeville,Veggie Taco Hash,12
7/17/20,Mandeville,Turk Meatloaf,10
7/17/20,Mandeville,Turkey Chili,10
7/17/20,Mandeville,Turkey Bolognese,10
7/17/20,Mandeville,Turkey Quinoa Hash,10
7/17/20,Mandeville,Chicken Fried Broccoli Rice,10
7/17/20,Mandeville,Grass-Fed Beef Taco Hash,10
7/17/20,Mandeville,Turkey Meatloaf Rice and Beans Large,10
7/17/20,Mandeville,Spaghetti Bolognese Large,10
7/17/20,Mandeville,Pesto Chicken Pasta Large,8
7/17/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,12
7/17/20,Mandeville,Chicken Chili Enchiladas with Rice Large,10
7/19/20,Mandeville,Bison Quinoa Hash,2
7/19/20,Mandeville,Veggie Taco Hash,2
7/19/20,Mandeville,Turk Meatloaf,1
7/19/20,Mandeville,Turkey Chili,2
7/19/20,Mandeville,Turkey Bolognese,1
7/19/20,Mandeville,Turkey Quinoa Hash,2
7/19/20,Mandeville,Chicken Fried Broccoli Rice,1
7/19/20,Mandeville,Grass-Fed Beef Taco Hash,2
7/19/20,Mandeville,Turkey Meatloaf Rice and Beans Large,1
7/19/20,Mandeville,Spaghetti Bolognese Large,1
7/19/20,Mandeville,Pesto Chicken Pasta Large,2
7/19/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,2
7/19/20,Mandeville,Chicken Chili Enchiladas with Rice Large,2
7/21/20,Mandeville,Bison Quinoa Hash,2
7/21/20,Mandeville,Veggie Taco Hash,2
7/21/20,Mandeville,Turk Meatloaf,3
7/21/20,Mandeville,Turkey Chili,2
7/21/20,Mandeville,Turkey Bolognese,2
7/21/20,Mandeville,Turkey Quinoa Hash,2
7/21/20,Mandeville,Chicken Fried Broccoli Rice,2
7/21/20,Mandeville,Grass-Fed Beef Taco Hash,2
7/21/20,Mandeville,Turkey Meatloaf Rice and Beans Large,1
7/21/20,Mandeville,Spaghetti Bolognese Large,2
7/21/20,Mandeville,Pesto Chicken Pasta Large,2
7/21/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,3
7/21/20,Mandeville,Chicken Chili Enchiladas with Rice Large,2
7/22/20,Mandeville,Bison Quinoa Hash,4
7/22/20,Mandeville,Veggie Taco Hash,3
7/22/20,Mandeville,Turk Meatloaf,5
7/22/20,Mandeville,Turkey Chili,3
7/22/20,Mandeville,Turkey Bolognese,3
7/22/20,Mandeville,Turkey Quinoa Hash,3
7/22/20,Mandeville,Chicken Fried Broccoli Rice,3
7/22/20,Mandeville,Grass-Fed Beef Taco Hash,3
7/22/20,Mandeville,Turkey Meatloaf Rice and Beans Large,3
7/22/20,Mandeville,Spaghetti Bolognese Large,3
7/22/20,Mandeville,Pesto Chicken Pasta Large,3
7/22/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,5
7/22/20,Mandeville,Chicken Chili Enchiladas with Rice Large,3
7/24/20,Mandeville,Bison Quinoa Hash,6
7/24/20,Mandeville,Veggie Taco Hash,7
7/24/20,Mandeville,Turk Meatloaf,4
7/24/20,Mandeville,Turkey Chili,5
7/24/20,Mandeville,Turkey Bolognese,5
7/24/20,Mandeville,Turkey Quinoa Hash,5
7/24/20,Mandeville,Chicken Fried Broccoli Rice,4
7/24/20,Mandeville,Grass-Fed Beef Taco Hash,5
7/24/20,Mandeville,Turkey Meatloaf Rice and Beans Large,5
7/24/20,Mandeville,Spaghetti Bolognese Large,5
7/24/20,Mandeville,Pesto Chicken Pasta Large,4
7/24/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,5
7/24/20,Mandeville,Chicken Chili Enchiladas with Rice Large,5
