Date,Store,Product,Sales
6/24/20,South,Tofu Stir Fry,
6/24/20,South,Broccoli Cheddar Soup,1
6/24/20,South,Kale Salad,
6/24/20,South,Greek Yogurt,
6/24/20,South,Ham Sandwich,
6/25/20,South,Chicken Soup,
6/25/20,South,Coffee Cake,
6/25/20,South,Tuna Salad,
6/25/20,South,Spaghetti and Meatballs,
6/25/20,South,Turkey Sandwich,
6/25/20,South,Garlic Hummus,
6/25/20,South,Vanilla Pudding,
6/25/20,South,Blueberry Oatmeal,
6/25/20,South,Tofu Stir Fry,
6/25/20,South,Broccoli Cheddar Soup,
6/25/20,South,Kale Salad,
6/25/20,South,Greek Yogurt,
6/25/20,South,Ham Sandwich,
6/26/20,South,Chicken Soup,
6/26/20,South,Coffee Cake,
6/26/20,South,Tuna Salad,
6/26/20,South,Spaghetti and Meatballs,1
6/26/20,South,Turkey Sandwich,1
6/26/20,South,Garlic Hummus,
6/26/20,South,Vanilla Pudding,1
6/26/20,South,Blueberry Oatmeal,
6/26/20,South,Tofu Stir Fry,
6/26/20,South,Broccoli Cheddar Soup,2
6/26/20,South,Kale Salad,
6/26/20,South,Greek Yogurt,1
6/26/20,South,Ham Sandwich,1
6/27/20,South,Chicken Soup,
6/27/20,South,Coffee Cake,1
6/27/20,South,Tuna Salad,1
6/27/20,South,Spaghetti and Meatballs,
6/27/20,South,Turkey Sandwich,
6/27/20,South,Garlic Hummus,2
6/27/20,South,Vanilla Pudding,1
6/27/20,South,Blueberry Oatmeal,2
6/27/20,South,Tofu Stir Fry,
6/27/20,South,Broccoli Cheddar Soup,2
6/27/20,South,Kale Salad,
6/27/20,South,Greek Yogurt,
6/27/20,South,Ham Sandwich,3
6/28/20,South,Chicken Soup,
6/28/20,South,Coffee Cake,3
6/28/20,South,Tuna Salad,1
6/28/20,South,Spaghetti and Meatballs,
6/28/20,South,Turkey Sandwich,
6/28/20,South,Garlic Hummus,
6/28/20,South,Vanilla Pudding,1
6/28/20,South,Blueberry Oatmeal,
6/28/20,South,Tofu Stir Fry,
6/28/20,South,Broccoli Cheddar Soup,
6/28/20,South,Kale Salad,1
6/28/20,South,Greek Yogurt,
6/28/20,South,Ham Sandwich,
6/29/20,South,Chicken Soup,1
6/29/20,South,Coffee Cake,1
6/29/20,South,Tuna Salad,1
6/29/20,South,Spaghetti and Meatballs,1
6/29/20,South,Turkey Sandwich,
6/29/20,South,Garlic Hummus,
6/29/20,South,Vanilla Pudding,1
6/29/20,South,Blueberry Oatmeal,
6/29/20,South,Tofu Stir Fry,
6/29/20,South,Broccoli Cheddar Soup,
6/29/20,South,Kale Salad,
6/29/20,South,Greek Yogurt,1
6/29/20,South,Ham Sandwich,
6/30/20,South,Chicken Soup,
6/30/20,South,Coffee Cake,
6/30/20,South,Tuna Salad,
6/30/20,South,Spaghetti and Meatballs,1
6/30/20,South,Turkey Sandwich,
6/30/20,South,Garlic Hummus,
6/30/20,South,Vanilla Pudding,
6/30/20,South,Blueberry Oatmeal,
6/30/20,South,Tofu Stir Fry,
6/30/20,South,Broccoli Cheddar Soup,
6/30/20,South,Kale Salad,
6/30/20,South,Greek Yogurt,2
6/30/20,South,Ham Sandwich,
7/1/20,South,Chicken Soup,1
7/1/20,South,Coffee Cake,
7/1/20,South,Tuna Salad,2
7/1/20,South,Spaghetti and Meatballs,
7/1/20,South,Turkey Sandwich,
7/1/20,South,Garlic Hummus,1
7/1/20,South,Vanilla Pudding,1
7/1/20,South,Blueberry Oatmeal,1
7/1/20,South,Tofu Stir Fry,1
7/1/20,South,Broccoli Cheddar Soup,2
7/1/20,South,Kale Salad,1
7/1/20,South,Greek Yogurt,2
7/1/20,South,Ham Sandwich,1
7/2/20,South,Chicken Soup,2
7/2/20,South,Coffee Cake,1
7/2/20,South,Tuna Salad,
7/2/20,South,Spaghetti and Meatballs,
7/2/20,South,Turkey Sandwich,
7/2/20,South,Garlic Hummus,
7/2/20,South,Vanilla Pudding,
7/2/20,South,Blueberry Oatmeal,1
7/2/20,South,Tofu Stir Fry,
7/2/20,South,Broccoli Cheddar Soup,
7/2/20,South,Kale Salad,
7/2/20,South,Greek Yogurt,
7/2/20,South,Ham Sandwich,
7/3/20,South,Chicken Soup,
7/3/20,South,Coffee Cake,
7/3/20,South,Tuna Salad,
7/3/20,South,Spaghetti and Meatballs,
7/3/20,South,Turkey Sandwich,
7/3/20,South,Garlic Hummus,
7/3/20,South,Vanilla Pudding,
7/3/20,South,Blueberry Oatmeal,
7/3/20,South,Tofu Stir Fry,
7/3/20,South,Broccoli Cheddar Soup,
7/3/20,South,Kale Salad,
7/3/20,South,Greek Yogurt,
7/3/20,South,Ham Sandwich,
7/4/20,South,Chicken Soup,
7/4/20,South,Coffee Cake,
7/4/20,South,Tuna Salad,
7/4/20,South,Spaghetti and Meatballs,
7/4/20,South,Turkey Sandwich,
7/4/20,South,Garlic Hummus,
7/4/20,South,Vanilla Pudding,
7/4/20,South,Blueberry Oatmeal,
7/4/20,South,Tofu Stir Fry,
7/4/20,South,Broccoli Cheddar Soup,
7/4/20,South,Kale Salad,
7/4/20,South,Greek Yogurt,
7/4/20,South,Ham Sandwich,
7/5/20,South,Chicken Soup,
7/5/20,South,Coffee Cake,
7/5/20,South,Tuna Salad,
7/5/20,South,Spaghetti and Meatballs,
7/5/20,South,Turkey Sandwich,
7/5/20,South,Garlic Hummus,
7/5/20,South,Vanilla Pudding,
7/5/20,South,Blueberry Oatmeal,
7/5/20,South,Tofu Stir Fry,
7/5/20,South,Broccoli Cheddar Soup,
7/5/20,South,Kale Salad,
7/5/20,South,Greek Yogurt,
7/5/20,South,Ham Sandwich,
7/6/20,South,Chicken Soup,1
7/6/20,South,Coffee Cake,
7/6/20,South,Tuna Salad,1
7/6/20,South,Spaghetti and Meatballs,2
7/6/20,South,Turkey Sandwich,1
7/6/20,South,Garlic Hummus,
7/6/20,South,Vanilla Pudding,1
7/6/20,South,Blueberry Oatmeal,
7/6/20,South,Tofu Stir Fry,1
7/6/20,South,Broccoli Cheddar Soup,
7/6/20,South,Kale Salad,1
7/6/20,South,Greek Yogurt,
7/6/20,South,Ham Sandwich,
7/7/20,South,Chicken Soup,
7/7/20,South,Coffee Cake,2
7/7/20,South,Tuna Salad,
7/7/20,South,Spaghetti and Meatballs,
7/7/20,South,Turkey Sandwich,
7/7/20,South,Garlic Hummus,2
7/7/20,South,Vanilla Pudding,
7/7/20,South,Blueberry Oatmeal,
7/7/20,South,Tofu Stir Fry,
7/7/20,South,Broccoli Cheddar Soup,
7/7/20,South,Kale Salad,1
7/7/20,South,Greek Yogurt,2
7/7/20,South,Ham Sandwich,
7/8/20,South,Chicken Soup,
7/8/20,South,Coffee Cake,
7/8/20,South,Tuna Salad,
7/8/20,South,Spaghetti and Meatballs,1
7/8/20,South,Turkey Sandwich,
7/8/20,South,Garlic Hummus,
7/8/20,South,Vanilla Pudding,
7/8/20,South,Blueberry Oatmeal,
7/8/20,South,Tofu Stir Fry,1
7/8/20,South,Broccoli Cheddar Soup,
7/8/20,South,Kale Salad,
7/8/20,South,Greek Yogurt,3
7/8/20,South,Ham Sandwich,
7/9/20,South,Chicken Soup,
7/9/20,South,Coffee Cake,1
7/9/20,South,Tuna Salad,
7/9/20,South,Spaghetti and Meatballs,
7/9/20,South,Turkey Sandwich,1
7/9/20,South,Garlic Hummus,
7/9/20,South,Vanilla Pudding,1
7/9/20,South,Blueberry Oatmeal,1
7/9/20,South,Tofu Stir Fry,1
7/9/20,South,Broccoli Cheddar Soup,1
7/9/20,South,Kale Salad,
7/9/20,South,Greek Yogurt,1
7/9/20,South,Ham Sandwich,2
7/10/20,South,Chicken Soup,
7/10/20,South,Coffee Cake,1
7/10/20,South,Tuna Salad,
7/10/20,South,Spaghetti and Meatballs,1
7/10/20,South,Turkey Sandwich,1
7/10/20,South,Garlic Hummus,
7/10/20,South,Vanilla Pudding,1
7/10/20,South,Blueberry Oatmeal,1
7/10/20,South,Tofu Stir Fry,
7/10/20,South,Broccoli Cheddar Soup,1
7/10/20,South,Kale Salad,
7/10/20,South,Greek Yogurt,
7/10/20,South,Ham Sandwich,1
7/11/20,South,Chicken Soup,2
7/11/20,South,Coffee Cake,
7/11/20,South,Tuna Salad,1
7/11/20,South,Spaghetti and Meatballs,2
7/11/20,South,Turkey Sandwich,2
7/11/20,South,Garlic Hummus,2
7/11/20,South,Vanilla Pudding,1
7/11/20,South,Blueberry Oatmeal,1
7/11/20,South,Tofu Stir Fry,
7/11/20,South,Broccoli Cheddar Soup,1
7/11/20,South,Kale Salad,
7/11/20,South,Greek Yogurt,3
7/11/20,South,Ham Sandwich,2
7/12/20,South,Chicken Soup,2
7/12/20,South,Coffee Cake,2
7/12/20,South,Tuna Salad,1
7/12/20,South,Spaghetti and Meatballs,
7/12/20,South,Turkey Sandwich,
7/12/20,South,Garlic Hummus,1
7/12/20,South,Vanilla Pudding,1
7/12/20,South,Blueberry Oatmeal,1
7/12/20,South,Tofu Stir Fry,1
7/12/20,South,Broccoli Cheddar Soup,1
7/12/20,South,Kale Salad,
7/12/20,South,Greek Yogurt,1
7/12/20,South,Ham Sandwich,
7/13/20,South,Chicken Soup,1
7/13/20,South,Coffee Cake,
7/13/20,South,Tuna Salad,
7/13/20,South,Spaghetti and Meatballs,1
7/13/20,South,Turkey Sandwich,
7/13/20,South,Garlic Hummus,
7/13/20,South,Vanilla Pudding,
7/13/20,South,Blueberry Oatmeal,
7/13/20,South,Tofu Stir Fry,1
7/13/20,South,Broccoli Cheddar Soup,
7/13/20,South,Kale Salad,
7/13/20,South,Greek Yogurt,1
7/13/20,South,Ham Sandwich,1
7/14/20,South,Chicken Soup,
7/14/20,South,Coffee Cake,2
7/14/20,South,Tuna Salad,
7/14/20,South,Spaghetti and Meatballs,
7/14/20,South,Turkey Sandwich,1
7/14/20,South,Garlic Hummus,1
7/14/20,South,Vanilla Pudding,1
7/14/20,South,Blueberry Oatmeal,2
7/14/20,South,Tofu Stir Fry,1
7/14/20,South,Broccoli Cheddar Soup,1
7/14/20,South,Kale Salad,
7/14/20,South,Greek Yogurt,2
7/14/20,South,Ham Sandwich,
7/15/20,South,Chicken Soup,
7/15/20,South,Coffee Cake,1
7/15/20,South,Tuna Salad,2
7/15/20,South,Spaghetti and Meatballs,1
7/15/20,South,Turkey Sandwich,
7/15/20,South,Garlic Hummus,
7/15/20,South,Vanilla Pudding,1
7/15/20,South,Blueberry Oatmeal,
7/15/20,South,Tofu Stir Fry,1
7/15/20,South,Broccoli Cheddar Soup,
7/15/20,South,Kale Salad,1
7/15/20,South,Greek Yogurt,2
7/15/20,South,Ham Sandwich,2
7/16/20,South,Chicken Soup,
7/16/20,South,Coffee Cake,
7/16/20,South,Tuna Salad,
7/16/20,South,Spaghetti and Meatballs,
7/16/20,South,Turkey Sandwich,
7/16/20,South,Garlic Hummus,
7/16/20,South,Vanilla Pudding,1
7/16/20,South,Blueberry Oatmeal,1
7/16/20,South,Tofu Stir Fry,1
7/16/20,South,Broccoli Cheddar Soup,
7/16/20,South,Kale Salad,
7/16/20,South,Greek Yogurt,
7/16/20,South,Ham Sandwich,
7/17/20,South,Chicken Soup,2
7/17/20,South,Coffee Cake,
7/17/20,South,Tuna Salad,1
7/17/20,South,Spaghetti and Meatballs,2
7/17/20,South,Turkey Sandwich,1
7/17/20,South,Garlic Hummus,1
7/17/20,South,Vanilla Pudding,1
7/17/20,South,Blueberry Oatmeal,1
7/17/20,South,Tofu Stir Fry,1
7/17/20,South,Broccoli Cheddar Soup,1
7/17/20,South,Kale Salad,1
7/17/20,South,Greek Yogurt,2
7/17/20,South,Ham Sandwich,
7/18/20,South,Chicken Soup,
7/18/20,South,Coffee Cake,
7/18/20,South,Tuna Salad,2
7/18/20,South,Spaghetti and Meatballs,1
7/18/20,South,Turkey Sandwich,2
7/18/20,South,Garlic Hummus,
7/18/20,South,Vanilla Pudding,1
7/18/20,South,Blueberry Oatmeal,
7/18/20,South,Tofu Stir Fry,2
7/18/20,South,Broccoli Cheddar Soup,1
7/18/20,South,Kale Salad,
7/18/20,South,Greek Yogurt,1
7/18/20,South,Ham Sandwich,
7/19/20,South,Chicken Soup,2
7/19/20,South,Coffee Cake,1
7/19/20,South,Tuna Salad,3
7/19/20,South,Spaghetti and Meatballs,1
7/19/20,South,Turkey Sandwich,
7/19/20,South,Garlic Hummus,1
7/19/20,South,Vanilla Pudding,1
7/19/20,South,Blueberry Oatmeal,2
7/19/20,South,Tofu Stir Fry,3
7/19/20,South,Broccoli Cheddar Soup,
7/19/20,South,Kale Salad,2
7/19/20,South,Greek Yogurt,2
7/19/20,South,Ham Sandwich,1
